,book,author,price
136,เมียบำเรอซาตานทมิฬ (The Elite Bad Boy),กัณฑ์กนิษฐ์,278.10 บาท
137,"BEAUTIFUL WORLD, WHERE ARE YOU ขอแค่โลกรักเพียงพักเดียว",แซลลี รูนีย์,265.50 บาท
138,ภรรยาจับจอง,นศามณี,260.10 บาท
139,โลกวุ่นวายของนายจอมเพี้ยน(โรซี2)ปกใหม่,แกรม ซิมสัน,280.00 บาท
140,เพราะเราอยู่กันบนโลกคนละใบ (ปกใหม่),ริเอโกะ มัตสึอุระ,225.00 บาท
141,โปรเจ็กต์รักของนายจอมเพี้ยน(โรซี1)ปกใหม่,แกรม ซิมสัน,256.00 บาท
142,กระเป๋าหนึ่งใบ กับหัวใจที่ว่างเปล่า,ฮิโรมิ คาวาคามิ,225.00 บาท
143,โครงการป่วนของนายจอมเพี้ยน(โรซี3),แกรม ซิมสัน,280.00 บาท
144,กุหลาบเกี่ยวใจ (ปกใหม่),กิ่งฉัตร,308.00 บาท
145,ชุดแก่นไม้หอม 1-2 (2เล่มจบ),กิ่งฉัตร,568.00 บาท
146,Oh my restaurant เปิดครัววุ่นลุ้นรัก,ตฤณภัทร,208.00 บาท
147,คุณหลวงเจ้าขา...ข้ากลัวผี,พงศกร,384.00 บาท
148,เมียร้ายของมาเฟีย (The Elite Bad Boy),กัณฑ์กนิษฐ์,260.10 บาท
149,ฤกษ์รักสามีมาเฟีย (ยอดรักของมาเฟีย),กานต์มณี,242.10 บาท
150,ดั่งลมหวน,ปิยะพร ศักดิ์เกษม,336.00 บาท
151,มณีแดนสรวง,พงศกร,400.00 บาท
152,เหมันต์ตะวันรอน,นวาภัส,280.00 บาท
153,อิ่ม,ปิยะพร ศักดิ์เกษม,280.00 บาท
154,เกิดเป็นช้างแต่คนข้างๆ ให้เป็นแมว,Nenechan,336.00 บาท
155,เงาไม้ใต้เงารัก,กนก ณจันทร์,213.00 บาท
156,บุหงากลางไฟ,อุธิยา,297.00 บาท
157,ดรรชนีชี้ตาย,อสิตา,279.00 บาท
158,เกียรติยศดวงดารา,วาดฝันแห่งรัก,247.00 บาท
159,ฮูหยินทระนง,มนต์มิถุนา,332.00 บาท
160,แมวขาวชะตาฟ้า,Ruk21us,221.00 บาท
161,ภพพานรัก,ญนันทร,297.00 บาท
162,อรุณอัษฎางค์,ฟ้าหลังบ้าน,255.00 บาท
163,คีตาบุหรง,ชญาน์พิมพ์,252.00 บาท
164,ระบำมยุรา,ชญาน์พิมพ์,270.00 บาท
165,ออกลายงิ้ว,แพทริก เหล่า,396.00 บาท
166,ถ้าคุณคิดจะรัก ให้รุก,ปราณธร,288.00 บาท
167,โถงสีเทา,เข็มพลอย,556.00 บาท
168,แสร้งว่าเป็นน้องรัก แต่พี่เกิดมาเพื่อรักน้อง,ฝันเอ้อระเหย,396.00 บาท
169,ชุดเบี้ยรัก 1-2 (2เล่มจบ),อุมาริการ์,805.50 บาท
170,มหานิยม,ลักษณะปรีชา,327.00 บาท
171,แรกรสล้านรัก,เนวิกา,414.00 บาท
172,ภาพตะวันในรัตติกาล,ดวงตะวัน,289.00 บาท
173,นิยายเรื่องนี้สอนให้รู้ว่า อย่าซ่ากับนักเขียน!,เสวี่ยเฟิ่ง,464.00 บาท
174,สวมบทภรรยาของตัวร้ายไม่ง่ายขนาดนั้น,Ji Teng (จื่อเถิง),272.00 บาท
175,กรุ่นกลิ่นรอยรัก,ณกาณฑ์,240.00 บาท
176,ทัณฑ์ปฏิพัทธ์,นาคาลัย,280.00 บาท
177,เมียพรางรัก,Cookie Pie,315.00 บาท
178,ซุปตาร์... I Love You,ณารา,342.00 บาท
179,บุพเพสันนิวาส (ปกใหม่),รอมแพง,346.50 บาท
180,พรหมลิขิต (ปกใหม่),รอมแพง,336.00 บาท
181,เกิดใหม่ชาตินี้ ฉันจะเป็นเจ้าตระกูล เล่ม 6,คิมโรอา,404.00 บาท
182,เกิดใหม่ชาตินี้ ฉันจะเป็นเจ้าตระกูล เล่ม 5,คิมโรอา,454.50 บาท
183,พันธนาการปรารถนา,จรสจันทร์,288.00 บาท
184,หัวใจตีตรา,จรสจันทร์,288.00 บาท
185,THINK TWICE ไตร่ตรองรัก,ภัสรสา,328.50 บาท
186,เสน่หาราตรี,ภัสรสา,260.00 บาท
187,A Hundred Flowers,คาวามูระ เก็งกิ,238.00 บาท
188,คืนนั้นใต้แสงดาว,ปรากฏการณ์,405.00 บาท
189,เมียเก็บประธานาธิบดี (The Elite Bad Boy),กัณฑ์กนิษฐ์,296.10 บาท
190,ยั่วรักชีคทะเลทราย (หัวใจทะเลทราย),กานต์มณี,251.10 บาท
191,ลำนำในลมหนาว,ปิยะพร ศักดิ์เกษม,288.00 บาท
192,ภาพภพ,ฟารุต,255.00 บาท
193,กลรักกิมจิ,พัพพุ,252.00 บาท
194,นิยายเรื่องนี้ฉันขอไม่เล่น,วาระวารี,366.30 บาท
195,ล่ารักมาเฟียทะเลทราย (หัวใจทะเลทราย),กานต์มณี,260.10 บาท
196,พระรองคนนั้นฉันจองนะคะ,กัณฑ์กนิษฐ์,242.10 บาท
197,สุดสายป่าน,ชูวงศ์ ฉายะจินดา,424.00 บาท
198,เด็กแฝดคู่นี้ฉันจะขอเลี้ยงเอง,หลิงเฟยหยา,413.10 บาท
199,บ่วงรักสีคราม,จรสจันทร์,289.00 บาท
200,ชุด ภูเมฆ (2 เล่มจบ),ณัฐณรา,578.00 บาท
201,บันดลรักบัลลังก์ใจ,แชนเดอเลียร์,225.00 บาท
202,What if...ถ้าวันนั้นฝนไม่ตก,สำลีสีชมพู,204.00 บาท
203,กาลครั้งหนึ่งรักคุณ,นวตา,298.00 บาท
204,เมื่อมาเฟียตกหลุมรัก,กัณฑ์กนิษฐ์,269.10 บาท
205,กำราบรักดวงใจเขมินทร์,วรินทร์นารี,206.10 บาท
206,คลื่นความรักเรียกหา,บัวบูรพา,323.00 บาท
207,Diet สื่อรัก ภาค 2 หัวใจไม่แพ้ 1,ฟ้าใหม่,193.50 บาท
208,Diet สื่อรัก ภาค 2 หัวใจไม่แพ้ 2 (จบ),ฟ้าใหม่,202.50 บาท
209,Diet สื่อรัก ภาค 1 กอบกู้ศักด์ศรี 2 (จบ),ฟ้าใหม่,238.50 บาท
210,วิมานไฟ,กฤษณา อโศกสิน,448.00 บาท
211,แรงคลื่นรัก,นายตะวัน,332.00 บาท
212,ตกหลุมรัก,เข็มพลอย,450.00 บาท
213,บ้านปรายเมฆ,เชอริณ,297.00 บาท
214,ประธานร้ายหวนคืนรัก,พลอยรำพัน,260.10 บาท
215,เกมรักเจ้าชายทะเลทราย (หัวใจทะเลทราย),กานต์มณี,278.10 บาท
216,ขีดเส้นใต้ที่คำว่ารัก,ปรากฏการณ์,360.05 บาท
217,วิวาห์สงบศึก,กัณฑ์กนิษฐ์,278.10 บาท
218,บริดเจอร์ตันเจ้าหัวใจ (โร้กสบี 3),จูเลีย ควินน์,256.00 บาท
219,รักคุณตราบนิรันดร์ (รักเพียงคุณ),แก้วชวาลา,341.10 บาท
220,บ่วงบงกช,ราตรีนิมิต,216.00 บาท
221,เธอที่ฟ้าลิขิต,มานินทร์,255.00 บาท
222,อวลกลิ่นบุปผา,มนต์มิถุนา,383.00 บาท
223,ใจร้ายพ่ายรัก (The Hidden Love) (18+),ของขวัญกล่องเล็ก,230.00 บาท
224,Diet สื่อรัก ภาค 1 กอบกู้ศักด์ศรี 1,ฟ้าใหม่,251.00 บาท
225,แหวนแกมแก้ว,ว.วินิจฉัยกุล,400.50 บาท
226,อุมาวสี,ตรี อภิรุม,496.00 บาท
227,คุณหมอร้ายย้อนรัก,นศามณี,278.10 บาท
228,เสน่ห์รักจอมโจรทะเลทราย (หัวใจทะเลทราย),กานต์มณี,233.10 บาท
229,รักร้ายคุณผู้ชายเย็นชา (รักที่แสนร้าย),กัณฑ์กนิษฐ์,242.10 บาท
230,ไม่เคยรู้ว่ามาก่อนจะแพ้,บัวบูรพา,383.00 บาท
231,รื่นรักรมย์ลวง @หัวหิน (ปกใหม่),กิ่งฉัตร,346.50 บาท
232,ขอสะดุดรักเธออีกครั้ง I'm Fine and Neither Are You,Camille Dagan,247.50 บาท
233,เกิดใหม่ชาตินี้ ฉันจะเป็นเจ้าตระกูล ล.4,คิมโรอา,454.50 บาท
234,ขอบฟ้าราตรี,ปิยะพร ศักดิ์เกษม,400.00 บาท
235,ตะวันเบิกฟ้า,ปิยะพร ศักดิ์เกษม,336.00 บาท
236,ในวารวัน,ปิยะพร ศักดิ์เกษม,464.00 บาท
237,เอื้อมมงรัก,รรรรดา,247.00 บาท
238,รักพี่วันนี้แถมฟรีลูกชาย,เมญาณี,264.00 บาท
239,ชุด ฮูหยินตัวร้าย เล่ม 1-2 (จบ),มณีน้ำค้าง,510.00 บาท
240,รีเทิร์นรักคุณสามีคืนเดียว (รีเทิร์นรัก),วาณี,231.30 บาท
241,ด้วยรักมหาศาลจากท่านประธาน,ปรากฏการณ์,341.05 บาท
242,เกิดใหม่ชาตินี้ ฉันจะเป็นเจ้าตระกูล เล่ม 3,คิมโรอา,445.50 บาท
243,ลิขิตปรารถนากากีข้ามภพ,นทธี ศศิวิมล,418.50 บาท
244,คัมภีร์เสน่หา 12 ราศี,เฉินหวังฟัน,247.50 บาท
245,ชุดบาปปรารถนารัก 1-2 (2 เล่มจบ),ศิริพารา,720.00 บาท
246,วิวาห์ยัดเยียด,นศามณี,278.10 บาท
247,รักร้ายคุณผู้ชายเอาแต่ใจ (รักที่แสนร้าย),กัณฑ์กนิษฐ์,242.10 บาท
248,ตำนานดวงดาว,รอมแพง,336.00 บาท
249,เกิดใหม่ชาตินี้ ฉันจะเป็นเจ้าตระกูล เล่ม 2,คิมโรอา,388.00 บาท
250,มัดจำรักมาเฟีย (ทายาทตระกูลบรู๊ซ),มณินทร,242.10 บาท
251,เกี้ยวรัก CEO ร้าย,พลอยรำพัน,251.10 บาท
252,สุภาพบุรุษกับศิศิรา (ปกใหม่),นิบบา,315.00 บาท
253,วิศวกรซ่อนรัก,ปรากฏการณ์,288.00 บาท
254,หน้าต่างบานแรก (พ.16),กฤษณา อโศกสิน,108.00 บาท
255,เหมือนราจะรักกันไม่ได้,ชูวงศ์ ฉายะจินดา,315.00 บาท
256,ตรวนน้ำผึ้ง,พัดชา,357.00 บาท
257,เจาะเวลาพลิกชะตารัก The Snail of Time,Lian Mu Chu Quang (เหลียนมู่ชูกวง),336.00 บาท
258,ร้อนสวาทพ่อเลี้ยงหนุ่ม,Cookie Pie,332.50 บาท
259,พนมนาคา (ปกใหม่),พงศกร,464.00 บาท
260,คนนี้เคยคุ้น,บัวบูรพา,306.00 บาท
261,หนึ่งในหล้า,กฤษณา อโศกสิน,288.00 บาท
262,ซูเปอร์สตาร์คลั่งรัก (หลงเธอ),กานต์มณี,251.10 บาท
263,เจ้าสาวของคน(ใจ)ร้าย,กัณฑ์กนิษฐ์,251.10 บาท
264,ความทรงจำแห่งรัก (โร้กสบี 2),จูเลีย ควินน์,256.00 บาท
265,รักที่พลิกผันของมิสบริดเจอร์ฯ (โร้กสบี1),จูเลีย ควินน์,256.00 บาท
266,ร้านหัวมุม,เข็มพลอย,384.00 บาท
267,คนนี้เด็กเฮีย,จรสจันทร์,289.00 บาท
268,ดวงชะตามีเกณฑ์จะได้รัก,มิณรญา,234.00 บาท
269,มายาพรางใจ,พิริณภัทร,248.00 บาท
270,มหาศาล,ลักษณะปรีชา,308.00 บาท
271,ก็อยู่เหนือกว่าศาสตรา,บัวบูรพา,396.00 บาท
272,KITCHEN คิตเช่น,บานานา โยชิโมโตะ,238.50 บาท
273,ณ ราตรีเสน่หา (ห้วงรักดั่งฝัน),กัณฑ์กนิษฐ์,251.10 บาท
274,เลขาแสนดี (คุณเลขายอดรัก),วรินทร์นารี,215.10 บาท
275,เมื่อไหร่จะรักสักที,กรวลัญชน์,280.00 บาท
276,ภัสดานาง,อุมาริการ์,288.00 บาท
277,ครามรัก,ชญาน์พิมพ์,351.00 บาท
278,กาลครั้งหนึ่งถึงเธอที่รัก,เจ้าเอย,351.00 บาท
279,ทำนายทายว่า (ไม่) รัก,ณัฐกฤตา,240.00 บาท
280,อนันตวารี,เก้าแต้ม,224.00 บาท
281,ปฏิบัติการก่อการรัก,มิมา,208.00 บาท
282,อดีตซ้อนซ่อนลายรัก,อุธิยา,297.00 บาท
283,Ambergris อำพันอันธการ,Way'h,279.00 บาท
284,คนโปรดคุณหมอ,นศามณี,323.10 บาท
285,เด็กเลี้ยงจอมอหังการ (เด็กเลี้ยงแสนรัก),แก้วชวาลา,296.10 บาท
286,เพลย์บอยคลั่งรัก (หลงเธอ),กานต์มณี,251.10 บาท
287,เจ้าสาวแสนเขลา,อยุทธ์,324.00 บาท
288,Rose กุหลาบปรารถนา,ชาณา,378.00 บาท
289,เทวัญบันดาล,แก้วเก้า,340.00 บาท
290,เกิดใหม่ชาตินี้ ฉันจะเป็นเจ้าตระกูล เล่ม 1,คิมโรอา,400.50 บาท
291,เสน่ห์รักเมียร้ายเดียงสา,กัณฑ์กนิษฐ์,278.10 บาท
292,Boy On Leash หมาน้อยบนเตียง,เจ้าหญิงผู้เลอโฉม,467.10 บาท
293,ตราบจันทร์เคียงใจ,ธมธร,279.00 บาท
294,ตัวประกอบเช่นข้าอยู่ๆ ก็กลายเป็นภรรยาของท่านแม่ทัพ,Ji Teng (จื่อเถิง),264.00 บาท
295,ฝากดินเคียงดาว,ภัสรสา,332.00 บาท
296,สัตตวารา,ฟ้าหลังบ้าน,224.00 บาท
297,เมียคุณ,พราวพริ้ม (พลิ้วอ่อน),396.00 บาท
298,เป็นตัวร้ายก็ต้องตายเท่านั้น เล่ม 1 (ฉบับพิมพ์ครั้งที่ 2),Gwon Gyeoeul,324.00 บาท
299,เป็นตัวร้ายก็ต้องตายเท่านั้น เล่ม 2 (ฉบับพิมพ์ครั้งที่ 2),Gwon Gyeoeul,324.00 บาท
300,คุ้มครองรักภรรยาเลื่อนขั้น,พลอยรำพัน,233.10 บาท
301,หัวใจคลั่งรัก (หลงเธอ),กานต์มณี,242.10 บาท
302,หวานล้ำลวงใจ I miss you more than chocolate,อัญชรีย์,314.10 บาท
303,แอบคบท่านประธาน,กัณฑ์กนิษฐ์,260.10 บาท
304,เด็กเลี้ยงจอมเสเพล (เด็กเลี้ยงแสนรัก),แก้วชวาลา,305.10 บาท
305,ร้าวร้าย,ณกาณฑ์,304.00 บาท
306,จักรพรรดินีการแสดง ต้องการเกษียณ 2 (จบ),Xiaolanlu69,320.00 บาท
307,Friend's Sister พี่เพื่อน,Cherry-Go-Round,264.00 บาท
308,รักเล็กๆ ไปยาลใหญ่,นายตะวัน,342.00 บาท
309,TANMAN แทนแมนทำแทนได้,สุดที่รัก,176.00 บาท
310,บุหงาบาติก,พงศกร,448.00 บาท
311,รอยไหม,พงศกร,464.00 บาท
312,The Spanish Love Deception แผนลวงสู่ห้วงรักแบบฉบับสเปน,Elena Armas,521.10 บาท
313,นางหงส์สะบัดลาย,พลอยนพเก้า,336.00 บาท
314,ภรรยานอกจวน,มนต์มิถุนา,315.00 บาท
315,นาคาเกี้ยวจันทร์,คามิเลียสีชมพู,378.00 บาท
316,ฉันจะได้มีสามีกับเขา,บัวบูรพา,261.00 บาท
