,book,author,price
774,เซ่อเป็นเสร็จ,ไพฑูรย์ เรือนทอง,157.50 บาท
775,เหม่ด่อยี นางพญาอาถรรพ์,มณีมัญช์,179.10 บาท
776,โรงครู,มาโนช นิสรา,108.00 บาท
777,พรายน้ำวน,อาริตา,270.00 บาท
778,7 วันจองเวร : Sunday ตอนห้องคลอดมรณะ,ภาคินัย,161.10 บาท
779,โรงฟอกมนุษย์,เขมปัญญ์ สิปปกรณ์,125.10 บาท
780,ปริศนาพันธุ์สองร่าง,วัชรากร,175.50 บาท
781,รหัสลับคนจูงหมา,กาบแก้ว,161.10 บาท
782,กลัว...?,ศิรวิน ฉินเฉลิมวงศ์,134.10 บาท
783,คุ้งตะเคียนดำ,ฆายณีย์,166.50 บาท
784,พิชิตแผนล่าทรชน,วสันต์ นิธิวรกุล,224.10 บาท
785,Disconnect เกมคร่าชีวิต,Compliated,107.10 บาท
786,โจรกรรมอมตะ,ญาณวุฒิ,170.10 บาท
787,ปมปริศนาเกาะมรณะ,วสันต์ นิธิวรกุล,152.10 บาท
788,เจตภูต...เจ้าหัวใจ,แรเงา,292.50 บาท
789,9 วันตาย,ไพฑูรย์ เรือนทอง,197.10 บาท
790,ภูต เล่ม 1,พ.จันทร์,198.00 บาท
791,ห้องเรียนที่ไม่ยอมเปิดรับ,จิโร่ อาคางาวะ,175.50 บาท
792,เพลงภูต(ข),นิดา,153.00 บาท
793,ปริศนาตลาดนัดราตรี,Tsunekawa Kotaro (ซึเนคาว่า โคทาโร่),157.50 บาท
794,คำพิพากษาของมหาสมุทร (Invisible Wave),ปราบดา หยุ่น,148.50 บาท
795,โรงเรียนปีศาจ,เหมาไถ,108.00 บาท
796,สัมผัสสยองของสาวแอร์ Six Sense,ใบตาล,121.50 บาท
797,ปิดเทอมหลอน 12 Trip ผีเฮี้ยน,อัลเบิร์ต กิ๊กก๊อก,121.50 บาท
798,ผีในคุก,น.ช.,130.50 บาท
799,โรงแรมผี,,90.00 บาท
800,เสือสมิง,,153.00 บาท
801,รากษสโฮเต็ล,สุธี ปิงสุทธิวงศ์,359.10 บาท
802,alone in the mountains,nichacs,180.00 บาท
803,บ่วงฆาต ราชดำเนิน,ศิวา สืบวงศ์สิน,242.10 บาท
804,เหล็กไหล (เล่ม 1-2),พนมเทียน,648.00 บาท
805,ในสวนหย่อม,nichacs,234.00 บาท
