,book,author,price
125,ปล่อยแม่มดคนนั้นซะ 16,Er Mu,343.00 บาท
126,BUDDY HOPE สองอสูรป่วนคู่กัดในตำนาน,Karina.B,236.00 บาท
127,มุมมองนักอ่านพระเจ้า เล่ม 15 (ฉบับพิมพ์ครั้งที่ 2),sing N song,265.50 บาท
128,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา 5,Usonan,340.00 บาท
129,หวังทง องครักษ์เสื้อแพร เล่ม 8,เท่อเปี๋ยไป๋,316.00 บาท
130,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา เล่ม  4,Usonan,364.00 บาท
131,เกิดอีกครั้งในยุค 80 ชาตินี้ไม่ใหญ่ไม่ได้ เล่ม 1,เส้าหลง,264.00 บาท
132,หวังทง องครักษ์เสื้อแพร 7,เท่อเปี๋ยไป๋,316.00 บาท
133,ปล่อยแม่มดคนนั้นซะ 15,Er Mu,386.10 บาท
134,ผนึกสวรรค์ สยบมาร สะท้านเทพ ล.16,เอ่อร์เกิน Er Gen,287.00 บาท
135,โทมัส โจนส์ กับ โลกอีกฝั่ง เล่ม 2 ตอนวังวนผู้เก็บความลับ,Sunray,287.00 บาท
136,อัลคาแทรซผจญอัฐิจ้าวอาลักษณ์(ALCATRAZ 2),แบรนดอน แซนเดอร์สัน,243.00 บาท
137,ความลับใต้เหงือกปลา,คูพยองโม (Gu Byeong-mo),152.00 บาท
138,สตาร์ดัสท์ (พิมพ์ครั้งที่ 3),นีล เกแมน,236.00 บาท
139,ฤดูกาลแห่งพายุ The Witcher ภาคพิเศษ,อันเดร ซาพคอฟสกี,396.00 บาท
140,Mistborn วีรชนแห่งยุค (มิสต์บอร์น 3),แบรนดอน แซนเดอร์สัน,715.50 บาท
141,ขอที ผมคนนี้อยากหนีจากบทพระรอง เล่ม  1,Sookym,336.00 บาท
142,THE ROAD ถนนสายอำมหิต,Cormac McCarthy(คอร์แมค แมคคาร์ทีย์),240.00 บาท
143,มุมมองนักอ่านพระเจ้า เล่ม 14 (ฉบับพิมพ์ครั้งที่ 2),sing N song,247.50 บาท
144,มุมมองนักอ่านพระเจ้า เล่ม 13 (ฉบับพิมพ์ครั้งที่ 2),sing N song,247.50 บาท
145,หายนะแห่งนคราไร้แสง (Shades of Magic 3),"SCHWAB, V.E.",539.10 บาท
146,Element Lord เจ้ามหาธาตุกลับชาติมาเกิด 3,TheSpecter,303.00 บาท
147,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา 3,Usonan,196.00 บาท
148,ร้านเครื่องเขียนสึบากิ (ยังคง)รับเขียนความรู้สึกของคนที่ไม่กล้าบอก,โอกาวะ อิโตะ,256.00 บาท
149,ปล่อยแม่มดคนนั้นซะ 14,Er Mu,343.00 บาท
150,หวังทง องครักษ์เสื้อแพร 5,เท่อเปี๋ยไป๋,340.00 บาท
151,หวังทง องครักษ์เสื้อแพร 6,เท่อเปี๋ยไป๋,340.00 บาท
152,มุมมองนักอ่านพระเจ้า เล่ม 12 (ฉบับพิมพ์ครั้งที่ 2),sing N song,265.50 บาท
153,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา 2,Usonan,228.00 บาท
154,หวังทง องครักษ์เสื้อแพร 4,เท่อเปี๋ยไป๋,340.00 บาท
155,หวังทง องครักษ์เสื้อแพร 3,เท่อเปี๋ยไป๋,340.00 บาท
156,ศิลาหาว,N.K. Jemisin (เอ็น. เค. เจมิซิน),396.00 บาท
157,ท่านหญิงแห่งทะเลสาบ The Witcher saga 5,อันเดร ซาพคอฟสกี,580.50 บาท
158,มุมมองนักอ่านพระเจ้า เล่ม 11 (ฉบับพิมพ์ครั้งที่ 2),sing N song,256.50 บาท
159,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา 1,Usonan,204.00 บาท
160,ปล่อยแม่มดคนนั้นซะ 13,Er Mu,319.00 บาท
161,หายนะแห่งเงาทมิฬ (Shades of Magic VOL.2),"SCHWAB, V.E.",431.10 บาท
162,ผู้พิทักษ์แห่งนครสาบสูญ ตอนมหันตภัยแดนเน,Shannon Messenger,355.50 บาท
163,โลกเวทมนตร์ของคาออส 5 มหาสงครามฯ(เล่มจบ),Grimmix,334.00 บาท
164,เรเลียนา พระเอกของฉันเป็นท่านดยุก ล.2,Milcha,300.00 บาท
165,ปล่อยแม่มดคนนั้นซะ 12,Er Mu,319.00 บาท
166,หวังทง องครักษ์เสื้อแพร 1,เท่อเปี๋ยไป๋,332.00 บาท
167,มุมมองนักอ่านพระเจ้า เล่ม 10 (ฉบับพิมพ์ครั้งที่ 2),sing N song,256.50 บาท
168,หวังทง องครักษ์เสื้อแพร 2,เท่อเปี๋ยไป๋,316.00 บาท
169,Ready Player Two (สมรภูมิเกมซ้อนเกม),Ernest Cline (เออร์เนสต์ ไคลน์),337.50 บาท
170,สมรภูมิเกมซ้อนเกม Ready Player Oneปกใหม่,Ernest Cline (เออร์เนสต์ ไคลน์),337.50 บาท
171,ปล่อยแม่มดคนนั้นซะ 11,Er Mu,350.10 บาท
172,พิภพวานร (Planet of the Apes)(ปกใหม่),ปิแอร์ บูเล,208.00 บาท
173,ศรัทธาไม่เงียบ (Silence)(ปกใหม่),เอนโด ชูซากุ,218.00 บาท
174,ปาปริกา ผจญแดนฝันมหัศจรรย์ (ปกใหม่),ยะซุทากะ สึสึอิ,342.00 บาท
175,ชีวิตต้องสาป,มหัทธนา,288.00 บาท
176,เดริก้า 2 กับตำนานมหายุทธ์จอมปีศาจ,Tenยอริต้า,288.00 บาท
177,มุมมองนักอ่านพระเจ้า เล่ม 9 (ฉบับพิมพ์ครั้งที่ 2),sing N song,256.50 บาท
178,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 15,เอ่อร์เกิน Er Gen,239.00 บาท
179,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 14,เอ่อร์เกิน Er Gen,287.00 บาท
180,ภาม คนรับจ้างตาย คดีที่: 1 เที่ยวบินลางมรณะ ภาค : ผู้แสวงกรรม (LN),วาฬน้ำเงิน,199.00 บาท
181,เชียร เจตภูตแห่งอัตตานิรันดร์ เล่ม 2 (LN),WYN,377.10 บาท
182,อัลคาแทรซผจญภัยบรรณารักษ์จอมโฉด,แบรนดอน แซนเดอร์สัน,225.00 บาท
183,แฮร์รี่พอตเตอร์กับภาคีนกฟินิกซ์ภาพประกอบ,J.K. Rowling (เจ. เค. โรว์ลิง),"4,702.50 บาท"
