,book,author,price
118,กลายเป็นท่านเทพในเกมสยองขวัญ เล่ม 12,หูอวี๋ล่าเจียว,400.50 บาท
119,ถูกบังคับให้เป็นที่ชื่นชอบของคนทั้งดวงดาว เล่ม 2 (จบ),ฉือหว่าน,445.50 บาท
120,สิ้นแสงอนธการ เล่ม 1,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),400.50 บาท
121,ถูกบังคับให้เป็นที่ชื่นชอบของคนทั้งดวงดาว เล่ม 1,ฉือหว่าน,445.50 บาท
122,เล่ห์รักจอมโจร เล่ม 1,อวี่เซี่ยวหลานซาน,445.50 บาท
123,ย้อนเวลามาเป็นจักรพรรดิ (ไม่) เอาถ่าน เล่ม 1,เฟยเทียนเย่เสียง,445.50 บาท
124,คุณอยู่ในส่วนลึกของดวงดาว เล่ม 1,อวี่เซี่ยวหลานซาน,409.50 บาท
125,ชุดบันทึกห้วงสมุทร เล่ม 1-2 (จบ),มู่ซูหลี่,693.00 บาท
126,Affair รักเล่นกล (ปกใหม่),เพชรไพลิน (เจ้าปลาน้อย),377.10 บาท
127,Mate เพื่อนรัก (ปกใหม่),เพชรไพลิน (เจ้าปลาน้อย),395.10 บาท
128,ไอศูรย์ราชัน,BennieRule,468.00 บาท
129,Wind Wave : คลื่นลม,มอคค่าปั่นใส่วิป,405.00 บาท
130,บทประพันธ์แห่งดวงดาว เล่ม 3 (จบ),จินกังชวน Jin Gang Quan,404.10 บาท
131,บทประพันธ์แห่งดวงดาว เล่ม 2,จินกังชวน Jin Gang Quan,404.10 บาท
132,บทประพันธ์แห่งดวงดาว เล่ม 1,จินกังชวน Jin Gang Quan,404.10 บาท
133,สิงสาลาตาย,MTRD.S,539.10 บาท
134,ทะลุมิติไปเป็นเพื่อนสมัยเด็กของหวานใจในนิยาย เล่ม 2 จบ,Qiezaishanyang,468.00 บาท
135,รวมพลราชาปีศาจอีสปอร์ต เล่ม 2,ชิงเหมยเจี้ยง,432.00 บาท
136,ทะลุมิติไปเป็นเพื่อนสมัยเด็กของหวานใจในนิยาย เล่ม 1,Qiezaishanyang,468.00 บาท
137,หุ้นส่วนหัวใจ คุณชายมาเฟีย เล่ม  2,เฟยเทียนเย่เสียง,445.50 บาท
138,When We Fall In Love (ใหม่),LALIETTE,405.00 บาท
139,Athena Sin #อาธีน่าต้องชดใช้,maiwang?,360.00 บาท
140,ตำหนักมายา เล่ม 3,ม่อเฟย,285.30 บาท
141,ชะตารักลิขิตบัลลังก์ เล่ม 2,ป๋ายเจี้ยจื่อ,426.60 บาท
142,เมื่อเทพแห่งความบ้าคลั่งกลับฯ 5 (จบภาค1),Montag71,359.10 บาท
143,มงกุฎเลือด เล่ม 5,สุ่ยเชียนเฉิง,401.40 บาท
144,ตำหนักมายา เล่ม 4,ม่อเฟย,374.40 บาท
145,BOXSET เมื่อเทพแห่งความบ้าคลั่งฯ 5+กล่อง,Montag71,710.10 บาท
146,เจ้ขาหนูรักเจ้,THEK34 (เดอะเคสามสี่),378.00 บาท
147,ศึกวันชิงใจ,marchyy (มาร์ชชี่),413.10 บาท
148,คุณชายแซ่กู้กับเจ้าสุนัขลู่จอมดุ เล่ม 1,เจี้ยงจื่อเป้ย,350.10 บาท
149,คุณชายแซ่กู้กับเจ้าสุนัขลู่จอมดุ  เล่ม 2 (เล่มจบ),เจี้ยงจื่อเป้ย,350.10 บาท
150,พ่อเลี้ยงเมืองพิงค์,Muny,342.00 บาท
151,ชุด Rule No.3 #ด้านมืดของเจมี่ 1-2 (จบ),ฮวังซอล,855.00 บาท
152,อัจฉริยะครองโลก เล่ม 4,เฟิงหลิวซูไต (Feng Liu Shu Dai),468.00 บาท
153,ทฤษฎีย้อนดักพันธนาการ เล่ม  4,เจียวถังตงกวา (Jiao Tang Dong Gua),333.00 บาท
154,พ้นเที่ยงคืนกลืนมิติ เล่ม 5,เหยียนเหลียงอวี่,431.10 บาท
155,ยอดดวงใจจอมทรราช เล่ม 4 (จบ),ซื่อเมี่ยนชูเกอ,398.05 บาท
156,ยอดดวงใจจอมทรราช เล่ม 3 (4 เล่มจบ),ซื่อเมี่ยนชูเกอ,379.05 บาท
157,QR CODE เกมท้าลิขิต พิชิตชะตา เล่ม 3,ซิงเซ่ออวี่อี้,449.10 บาท
158,ห้องแห่งอนธการอันไกลโพ้น เล่ม 2,ซีจื่อซวี่,404.10 บาท
159,RESET การเกิดใหม่ของดวงดาว Special 7 Yea,Crystaljade,296.10 บาท
160,อาชญากรรม (รัก) เหนือคลื่น กลืนสมุทร เล่ม  4,Huai Shang,386.10 บาท
161,The Earth is Online ฝ่าวิกฤตพิชิตหอคอยดำ เล่ม 5,มั่วเฉินฮวน (Mo Chen Huan),378.00 บาท
162,interlude เพราะรักเธอผู้งดงาม ตอนพิเศษ,Yuu Nagira (ยู นางิระ),234.00 บาท
163,สายเลือดมนตรา พายุบุปผา,Hana Yakou,252.00 บาท
164,ความทรงจำต้องห้าม (Pandora's Box) เล่ม  1,Lan Lin,378.00 บาท
165,ความทรงจำต้องห้าม (Pandora's Box) เล่ม  2,Lan Lin,378.00 บาท
166,ความทรงจำต้องห้าม (Pandora's Box) เล่ม 3 (จบ),Lan Lin,413.10 บาท
167,ไร้ทางรัก (Nowhere),Lan Lin,233.10 บาท
168,หวนรัก ฝากชีวิน เล่ม 2 (LN),มินามิ โคสึนะ,405.00 บาท
169,กุ่ยสิงเทียนเซี่ย เล่ม 10,เอ่อร์หย่า,351.00 บาท
170,แผนการฝืนลิขิตชีวิตตัวประกอบ เล่ม 2,เนี่ยนร่วน,405.00 บาท
171,แผนการฝืนลิขิตชีวิตตัวประกอบ เล่ม 3 (จบ),เนี่ยนร่วน,405.00 บาท
172,เกิดใหม่เป็นยอดภรรยาอันดับหนึ่ง  เล่ม 1,ชางหมิง,423.00 บาท
173,เกิดใหม่เป็นยอดภรรยาอันดับหนึ่ง เล่ม  2,ชางหมิง,414.00 บาท
174,ทุกสำนักล้วนติดหนี้บุญคุณข้า เล่ม 5,ฉีจิงหนานชวี่,367.00 บาท
175,Boxset ผู้พิทักษ์ภูเขามฤตยู เล่ม 1-2(จบ),Priest (พีต้า),"1,206.00 บาท"
176,ชุดผู้พิทักษ์ภูเขามฤตยู เล่ม 1-2 (จบ),Priest (พีต้า),801.00 บาท
177,THE FIRST GUIDE เล่ม 1,เตี๋ยจือหลิง,418.00 บาท
178,เมื่อผมเปิดคลินิกในวันสิ้นโลก เล่ม 3,ชางไห่โหยวหลาน,414.00 บาท
179,ชิปให้ตายเขาก็ไม่ใช่แฟนกัน 2 (เล่มจบ),Shineshy,314.10 บาท
180,ชิปให้ตายเขาก็ไม่ใช่แฟนกัน  เล่ม 1,Shineshy,314.10 บาท
181,ฉานชื่อผิ่น ดาราจักรไร้สมบูรณ์  เล่ม 6 (จบ),Priest (พีต้า),427.50 บาท
182,FOG ท่ามกลางสายหมอก เล่ม 1,ม่านม่านเหอฉีตัว,445.50 บาท
183,FOG ท่ามกลางสายหมอก เล่ม 3 (เล่มจบ),ม่านม่านเหอฉีตัว,445.50 บาท
184,ฉานชื่อผิ่น ดาราจักรไร้สมบูรณ์  เล่ม  5,Priest (พีต้า),445.50 บาท
185,FOG ท่ามกลางสายหมอก เล่ม 2,ม่านม่านเหอฉีตัว,445.50 บาท
186,เฉียนเยว่,rolisrose,432.00 บาท
187,ชุด Mutual Friends #พี่สันต์ตั้งใจ 1-2จบ,บ่ายวันอาทิตย์,738.00 บาท
188,พ้นเที่ยงคืนกลืนมิติ  เล่ม 4,เหยียนเหลียงอวี่,431.10 บาท
189,พ้นเที่ยงคืนกลืนมิติ เล่ม  3,เหยียนเหลียงอวี่,431.10 บาท
190,โซนากีคือชังมางั้นเหรอ เล่ม 2,นาชีคล,265.50 บาท
191,โซนากีคือชังมางั้นเหรอ เล่ม 1,นาชีคล,265.50 บาท
192,โลกแห่งไพ่ เล่ม 5,เตี๋ยจือหลิง (Die Zhiling),436.50 บาท
193,ชุดวิศวกรรมประสาท1-2(2เล่มจบ)ฉ.พิมพ์ใหม่,JittiRain,593.10 บาท
194,Game Loading เล่ม 5,หลงชี,414.00 บาท
195,ห่างเหิน เล่ม 2,เมิ่งซีสือ,414.00 บาท
196,Game Loading เล่ม 4,หลงชี,414.00 บาท
197,ห่างเหิน เล่ม 1,เมิ่งซีสือ,414.00 บาท
198,Rose and Renaissance เล่ม 1 (4 เล่มจบ),จื้อฉู่,369.00 บาท
199,มุกพักใจของหยกร้าว เล่ม 2 (จบ),Beinan (เป่ยหนาน),414.00 บาท
200,Rose and Renaissance เล่ม 2 (4 เล่มจบ),จื้อฉู่,369.00 บาท
201,มุกพักใจของหยกร้าว เล่ม 1,Beinan (เป่ยหนาน),414.00 บาท
202,แต่งงานสามครั้งกับปลาเค็ม เล่ม 3 (เล่มจบ),ปี่ข่าปี่,512.10 บาท
203,คุณบอดี้การ์ดพาร์ตไทม์ เล่ม 1,ลวี่เหยี่ยเชียนเฮ่อ,400.50 บาท
204,คุณบอดี้การ์ดพาร์ตไทม์ เล่ม 2,ลวี่เหยี่ยเชียนเฮ่อ,400.50 บาท
